baseline_path,authority,coverage,evidence,limits
docs/EDITORIAL_POLICY.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/EVIDENCE_REASSESSMENT.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/EXTENDED_RESULTS.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/FAQ.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
docs/FIGURE1_CAPTION.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/FIGURE1_UNCERTAINTY.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/FIGURE1_UNCERTAINTY_PLAN.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/FIGURE1_UNCERTAINTY_REVIEW.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/FIGURE_BASELINE.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/NOTATION.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/NUMERICAL_METHODS.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/PROJECT_GUIDE.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/RELATED_WORK.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/REPRODUCIBILITY_LIMITS.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/REPRODUCTION.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/RESEARCH_HISTORY.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
docs/RESULTS_AT_A_GLANCE.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/RUN_HISTORY.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/SCIENTIFIC_STORY.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/SCOPE_AND_LIMITATIONS.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/THEORY.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/TRANSITION_CONTEXT.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
docs/VALIDATION.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
entanglement-data.zip,current or supporting,all172memberhashes checked; relevant raw records and arrays reconstructed,REPRODUCTION.md; all figure and simulator reports,No full historical generation/uncertainty campaign
figures/PALETTE.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
figures/README.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
figures/core/figure_01_panel_b.pdf,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_01_panel_b.png,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_02_redistribution_matrix.pdf,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_02_redistribution_matrix.png,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_02_response_matrix.pdf,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_02_response_matrix.png,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_03_size_scaling.pdf,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_03_size_scaling.png,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_04_conditioning_contrast.pdf,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_04_conditioning_contrast.png,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_04_distance_decay.pdf,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core/figure_04_distance_decay.png,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
figures/core_svg/figure_01_panel_b.svg,current or supporting,regenerated and byte-compared; PNGs visually viewed,FIGURE_RENDERING.md; logs/core_figures.log,No external composite inspected
figures/core_svg/figure_02_redistribution_matrix.svg,current or supporting,regenerated and byte-compared; PNGs visually viewed,FIGURE_RENDERING.md; logs/core_figures.log,No external composite inspected
figures/core_svg/figure_02_response_matrix.svg,current or supporting,regenerated and byte-compared; PNGs visually viewed,FIGURE_RENDERING.md; logs/core_figures.log,No external composite inspected
figures/core_svg/figure_03_size_scaling.svg,current or supporting,regenerated and byte-compared; PNGs visually viewed,FIGURE_RENDERING.md; logs/core_figures.log,No external composite inspected
figures/core_svg/figure_04_conditioning_contrast.svg,current or supporting,regenerated and byte-compared; PNGs visually viewed,FIGURE_RENDERING.md; logs/core_figures.log,No external composite inspected
figures/core_svg/figure_04_distance_decay.svg,current or supporting,regenerated and byte-compared; PNGs visually viewed,FIGURE_RENDERING.md; logs/core_figures.log,No external composite inspected
figures/palette.json,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
materialize_studies.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
provenance/CI_EXPORT_COMPARISON_2026-09-05.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/CLEANUP_VERIFICATION_2026-09-08.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/EXPORT_COMPARISON_2026-09-05.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/FIGURE1_ADOPTION_2026-09-08.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/FIGURE4_APPROVAL_2026-09-05.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/FIGURE_PALETTE_2026-09-08.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/PUBLIC_RELEASE_CHECKLIST.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
provenance/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
provenance/SCIENTIFIC_CONSOLIDATION_2026-09-08.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/SELF_CONTAINMENT.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
provenance/SOURCE_MIGRATION.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
provenance/current_baseline_sha256.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/figure_sha256.csv,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
provenance/study_source_map.csv,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
pyproject.toml,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
reproduce.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
requirements-reproducible.txt,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
requirements.txt,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
results/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
results/core_claims.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
results/evidence_reassessment/common_cell_fit_diagnostics.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/common_profile.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/common_relative_magnitude.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/distance_fit_sensitivity.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/finite_size_model_sensitivity.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/finite_size_replay.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/frozen_distance_fit_residuals.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/input_manifest.json,current or supporting,identity and dependency/plan consistency inspection,BASELINE.md; FIGURE1.md; COMPLETENESS.md,Hashes are not external certification of history
results/evidence_reassessment/paired_endpoint_bootstraps.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/evidence_reassessment/summary.json,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/figure1_uncertainty/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
results/figure1_uncertainty/cell_support.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/figure1_uncertainty/eligibility_patterns.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/figure1_uncertainty/expected_replay_sha256.json,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/figure1_uncertainty/interval_comparison.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/figure1_uncertainty/monte_carlo_batches.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/figure1_uncertainty_review/figure_01_candidate_intervals.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/historical_figure1/README.md,historical/superseded; no substitution for current estimators,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established; historical artifacts not regenerated as current
results/historical_figure1/baseline_sha256.json,historical/superseded; no substitution for current estimators,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output; historical artifacts not regenerated as current"
results/historical_figure1/figure_01_panel_b.csv,historical/superseded; no substitution for current estimators,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output; historical artifacts not regenerated as current"
results/historical_figure1/figure_01_panel_b.pdf,historical/superseded; no substitution for current estimators,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output; historical artifacts not regenerated as current"
results/historical_figure1/figure_01_panel_b.png,historical/superseded; no substitution for current estimators,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output; historical artifacts not regenerated as current"
results/historical_figure1/figure_01_panel_b.svg,historical/superseded; no substitution for current estimators,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output; historical artifacts not regenerated as current"
results/historical_fit/figure_04_distance_fit.json,historical/superseded; no substitution for current estimators,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output; historical artifacts not regenerated as current"
results/repository_validation/core_record_replay.json,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/repository_validation/figure1_reconstructed_support.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/repository_validation/gate_invariants.json,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
results/repository_validation/tableau_statevector.json,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
scripts/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
scripts/analysis/check_figure1_adoption.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/analysis/complete_figure1_uncertainty.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/analysis/reassess_evidence.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/analysis/reproduce_core_records.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/analysis/verify_figure1_uncertainty.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/figures/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
scripts/figures/export_formats.py,current or supporting,manual source inspection; import/AST scan,FIGURE_RENDERING.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/figures/figure_palette.py,current or supporting,manual source inspection; import/AST scan,FIGURE_RENDERING.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/figures/make_figure_01_frozen.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/figures/make_figure_02.py,current or supporting,manual source inspection; import/AST scan,FIGURE_RENDERING.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/figures/make_figure_03.py,current or supporting,manual source inspection; import/AST scan,FIGURE_RENDERING.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
scripts/figures/make_figure_04.py,current or supporting,manual source inspection; import/AST scan,FIGURE_RENDERING.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
src/boundary_susceptibility/__init__.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
src/boundary_susceptibility/boundary_codes.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
src/boundary_susceptibility/records.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
src/boundary_susceptibility/response.py,current or supporting,manual source inspection; import/AST scan,REPRODUCTION.md; MATHEMATICS.md; figure component reports,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/README.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
studies/checkpoint_04/README.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
studies/checkpoint_04/design/DESIGN_LOCK_BEFORE_RUN.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_04/design/DESIGN_LOCK_BEFORE_RUN.sha256,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_04/design/DESIGN_LOCK_TIMESTAMP_UTC.txt,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_04/design/PHYSICAL_STABILIZER_DESIGN_LOCK_BEFORE_FULL_RUN.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_04/design/PHYSICAL_STABILIZER_DESIGN_LOCK_BEFORE_FULL_RUN.sha256,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_04/design/PHYSICAL_STABILIZER_INDEPENDENT_SEED_LOCK_BEFORE_RUN.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_04/design/PHYSICAL_STABILIZER_INDEPENDENT_SEED_LOCK_BEFORE_RUN.sha256,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_04/design/PHYSICAL_STABILIZER_INDEPENDENT_SEED_LOCK_TIMESTAMP_UTC.txt,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_04/notes/CLAIM_LEDGER_CHECKPOINT_04.csv,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_04/notes/METHODS_AND_DEFINITIONS.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_04/notes/RESULTS_AT_A_GLANCE.csv,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_04/notes/RUN_HISTORY_AND_PROTOCOL_DEVIATIONS.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_04/results/README.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_04/results/intervention_cross_architecture.csv,endorsed supporting table; confirmed inconsistent,independent all-row discrepancy check,FIGURE1.md; results/figure1_compact_table_discrepancies.csv,"Detailed report distinguishes source replay, fresh calculation and historical output"
studies/checkpoint_04/results/probe_response_coefficients.csv,current or supporting,table/status source tracing; relevant calculations checked,REPRODUCTION.md; figure component reports,"Detailed report distinguishes source replay, fresh calculation and historical output"
studies/checkpoint_04/results/response_stencil_decomposition.csv,endorsed supporting table; confirmed inconsistent,independent all-row discrepancy check,FIGURE1.md; results/figure1_compact_table_discrepancies.csv,"Detailed report distinguishes source replay, fresh calculation and historical output"
studies/checkpoint_04/scripts/analyze_checkpoint04.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/analyze_gate_space_universality.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/cp04_common.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/cross_architecture_rankflex.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/cross_architecture_simulation.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/independent_seed_replication.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/run_physical_cell_sequential.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/run_physical_stabilizer_arm.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/validate_gate_invariant_formula.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_04/scripts/validate_response_operator.py,current or supporting,manual source inspection; import/AST scan,FIGURE1.md; MATHEMATICS.md; SIMULATOR.md,Relevant calculations executed as specified in component reports; historical large campaigns not rerun
studies/checkpoint_05/README.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
studies/checkpoint_05/design/CALIBRATION_PLAN.md,current or supporting,navigation/source-context inspection,COMPLETENESS.md; results/navigation_links.csv,Not every historical narrative is independently established
studies/checkpoint_05/design/CALIBRATION_PLAN.sha256,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/design/CALIBRATION_TIMESTAMP_UTC.txt,current or supporting,identity/inventory checked,BASELINE.md; baseline_inventory.csv,Not a claim of independent scientific derivation from this file
studies/checkpoint_05/design/INDEPENDENT_REPLICATION_LOCK_BEFORE_RUN.md,current or supporting,manual reading and claim/source tracing,REVIEW.md; component reports,Current claims assessed against calculations; external layouts not seen
