claim_id,claim,baseline_sources,independent_check,evidence_kind,outcome,limitations_and_population,minimum_necessary_correction,certainty,audit_evidence
FOUR,Locally dressed response uses four purities and two response invariants,docs/THEORY.md:79–197; studies/checkpoint_04/scripts/validate_gate_invariant_formula.py,Independent local 24 x 24 twirl; noncontiguous subsystem; identity/SWAP/Cartan limits; rational literature coefficient translation,Analytical derivation; independent dense/rational calculation,SURVIVES; attribution/notation need revision,P_Lab=P_R uses global purity; two invariants suffice for this twirl but do not fully classify gates,Define realignment indices; narrow invariant-classification wording; add antecedents,High,MATHEMATICS.md; LITERATURE.md; results/literature_translation.json
CODE,Stabilizer flat central spectrum and nine boundary codes determine response,docs/THEORY.md:326–347; src/boundary_susceptibility/boundary_codes.py; scripts/figures/make_figure_02.py:20–42,Independent spectrum argument; exact alphabet and entropy increment signs; all 144 indicator fits,Analytical deduction; record reanalysis,SURVIVES,Pure stabilizers and stated averaged probe; codes are not complete state descriptors; Figure 1 Clifford-family states need not be stabilizers,Credit direct specialization; no numerical repair,High,MATHEMATICS.md; FIGURES23.md
F1-SPEC,Spectrum replacement retains sampled Schmidt vectors using discovery references,docs/NUMERICAL_METHODS.md Figure 1; studies/checkpoint_04/scripts/cross_architecture_simulation.py and cross_architecture_rankflex.py,"60 references; 3,600 physical spectra; rank masks and purities; 1,800 seeds; two bounded trajectory replays",Independent record contraction; source generator replay,SURVIVES declared operational intervention,Rank eligibility selects population; degenerate SVD vectors are a numerical gauge choice; fixed references differ by run; no gauge-invariant intervention claim,None under current disclosure,High at audited environment,FIGURE1.md; results/figure1_independent_summary.json; results/figure1_trajectory_replay.json
F1-CI,"Current Figure 1 uncertainty follows the declared 50,000-valid-draw trajectory bootstrap",analysis_plans/figure1_uncertainty_2026-09-08.json; scripts/analysis/complete_figure1_uncertainty.py; docs/FIGURE1_UNCERTAINTY.md:9–13,"20 outputs with one million retained draws; independent replay of 1,009,814 proposals; ten contrasts have negative intervals under both pool variants",Fresh source sampler; independent replay; independent point estimates,SURVIVES current replacement recipe,"3–7 eligible Clifford high-rate trajectories per cell; four common cells; fixed references, support and Floquet realization; rejection conditions on complete cells; pointwise intervals only",Do not claim recovery of the historical seed or unconditional coverage,High reproducibility; limited sparse-sample coverage guarantee,FIGURE1.md; reproduced_figure1_uncertainty/; figure1_review_verification/independent_replay.json
CP04-EXPORT,Compact supporting architecture/probe endpoints and exact decompositions are authoritative,studies/checkpoint_04/results/README.md:3–6; studies/checkpoint_04/results/intervention_cross_architecture.csv:2–31; studies/checkpoint_04/results/response_stencil_decomposition.csv:2–16; docs/EXTENDED_RESULTS.md:7–13,45 original-archive endpoints via the direct four-purity expression; 30 compact discrepancies; ten internal identity failures; two minimal failing assertions,Independent original-row calculation; independent second cross-check,FAIL confirmed supporting-table defect,All verified point signs remain negative; canonical four figures do not consume these exports; cause of the inconsistent exports is unknown,Regenerate/provenance-bind exact intended estimands or retire quantitative authority; add export-to-record tests,High,FIGURE1.md; results/figure1_compact_table_discrepancies.csv; code/figure1_confirmed_defects.py
CP04-GATE,"Alternate-probe, rank-2 and gate-region extensions support negative contrasts",Bundled checkpoint_04/analysis/consolidated and gate-space outputs (member hashes in figure1_extension_summary.json); studies/checkpoint_04/scripts/analyze_gate_space_universality.py,"45 original-row endpoints; 15 A, B and 4A-5B point criteria; archived interval inspection; dimension-weighted margin check",Independent original-row points; archived extension uncertainty,QUALIFIED SUPPORT from original archive; compact tables fail,Original extension bootstrap not rerun; raw pooled shifts differ from dimension-weighted physical criterion; empty-cell rule differs from current Figure 1 recipe; no universal confidence statement,Repair compact exports; retain declared point and interval scope without a universal gate confidence claim,High for point arithmetic; limited interval re-verification,FIGURE1.md; results/figure1_extension_summary.json; results/figure1_extension_gate_criteria.csv
F3-SECONDARY,Unnormalized response coefficients and contextual hinge/crossings support bounded secondary conclusions,"docs/DIALOGUE_REPORT.md:402–404,452–458; docs/TRANSITION_CONTEXT.md:9–12; studies/checkpoint_05/scripts/analyze_transition_crossover.py:9–50 and analyze_checkpoint05.py:87–124","16 secondary slopes; four intercepts; eight hinge fits; 12 crossing points; all 79,200 late-time tripartite-information records",Independent original-record fits; archived intervals partly replayed,SURVIVES contextual claims; wording defect confirmed,Crossing window and nearest-.26 selection; invalid crossing draws discarded; crossing arrays not stored so intervals not regenerated; hinges are post-hoc descriptive fits,Replace negative response with negative fitted coefficient in TRANSITION_CONTEXT,High for points; crossing intervals inspected in source only,FIGURES23.md; results/figures23_secondary_summary.json; results/figures23_positive_response_example.csv
F4-SPATIAL,Selected measurement response is concentrated near the cut,docs/EVIDENCE_REASSESSMENT.md:37–60; data/processed/core_figures/figure_04_distance_decay.csv; scripts/analysis/reassess_evidence.py:165–239,Exact common-eligibility profile and counts; fresh pointwise and simultaneous bands,Independent exact records; source resampling,SURVIVES finite observed profile,Common d=16 population has only five pre-states with nonzero effects; no hard cutoff or exponential law; individual near/far ordering counterexamples exist,None if population and tail qualifiers are retained,High for observed means; limited tail generalization,FIGURE4.md; reproduced_evidence/common_relative_magnitude.csv
SIM,Included simulator/gate implementation generates stated physical observables,studies/checkpoint_05/scripts/stabilizer_tableau.py and cp04_common.py; studies/checkpoint_04/scripts/cross_architecture_simulation.py; bundled Clifford matrices and support maps,"All 11,520 unique gates and 720 maps; 432 dense measurement cases; multiword boundaries; 27 archived tableau trajectories; two Checkpoint 04 trajectories",Independent dense kernels plus source-generation replay,PASS bounded checks; no defect found,No full campaign or exhaustive physical-state enumeration; record-to-estimate checks share data; original source validators share helpers,None for tested functionality; clarify original run recipes,High for executed cases,SIMULATOR.md; MATHEMATICS.md; FIGURE1.md
ATTR,Response machinery adequately distinguished from prior work,"docs/RELATED_WORK.md:53–60,143–145; docs/PROJECT_GUIDE.md:23; THEORY response equations",Read arXiv:1910.11351v2 Eqs.19/60 and arXiv:2006.08797v2 Eq.20; exact notation translation; 11 bibliography entries,Current primary literature and rational identity,INCOMPLETE major attribution,Empirical controlled comparison may be distinct; no search establishes priority,Integrate equation-level credit and endpoint comparisons; complete truncated bibliography title,High for equation equivalence; priority not certified,LITERATURE.md; code/check_literature_translation.py
COMP,Repository contains everything needed for eventual manuscript preparation,"docs/PROJECT_GUIDE.md:19–23; docs/DIALOGUE_REPORT.md:508; docs/RUN_HISTORY.md:35,43,57–60; provenance/SOURCE_MIGRATION.md:7",207-blob inventory; 172 archive members; 221 links; 18 exports; current workflows executed,Inventory; source inspection; execution,NOT YET COMPLETE,Editable external schematics absent; supporting-table defect; attribution incomplete; some historical manifests and logs not preserved; no unseen Overleaf review,"Obtain actual editable assets; correct specific numerical, attribution and provenance issues; no redesign",High for pinned tree,COMPLETENESS.md; FIGURE_RENDERING.md; FIX_PLAN.md
CI-GATE,Gate-invariant validator fails its CI command when the numerical check fails,studies/checkpoint_04/scripts/validate_gate_invariant_formula.py:27–32; .github/workflows/tests.yml:41,Control-flow inspection; controlled audit-only fault injection documented in MATHEMATICS.md,Static analysis and diagnostic regression,FAIL minor validation-enforcement defect,"Current numerical results pass; this defect concerns detection of future formula discrepancies, not a present identity failure",Exit nonzero or assert when passes is false; retain a regression for exit behavior,High,MATHEMATICS.md section 9; code/validator_confirmed_defect.py
