path,coverage,detail
scripts/figures/make_figure_01_frozen.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/figures/make_figure_02.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/figures/make_figure_03.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
scripts/figures/make_figure_04.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
src/boundary_susceptibility/__init__.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
src/boundary_susceptibility/boundary_codes.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
src/boundary_susceptibility/records.py,manual_full,manual inspection within simulator/completeness assignment
src/boundary_susceptibility/response.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/README.md,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_04/README.md,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_04/design/DESIGN_LOCK_BEFORE_RUN.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_04/design/PHYSICAL_STABILIZER_DESIGN_LOCK_BEFORE_FULL_RUN.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_04/design/PHYSICAL_STABILIZER_INDEPENDENT_SEED_LOCK_BEFORE_RUN.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_04/notes/METHODS_AND_DEFINITIONS.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_04/notes/RUN_HISTORY_AND_PROTOCOL_DEVIATIONS.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_04/results/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_04/scripts/analyze_checkpoint04.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_04/scripts/analyze_gate_space_universality.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_04/scripts/analyze_physical_stabilizer_full.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_04/scripts/build_consolidated_checkpoint04_analysis.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_04/scripts/cp04_common.py,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_04/scripts/cross_architecture_rankflex.py,manual_selected,"kernels1-535, referenceconstruction680-836; validators delegated to root/Figure1"
studies/checkpoint_04/scripts/cross_architecture_simulation.py,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_04/scripts/independent_seed_replication.py,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_04/scripts/run_physical_cell_sequential.py,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_04/scripts/run_physical_stabilizer_arm.py,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_04/scripts/validate_gate_invariant_formula.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_04/scripts/validate_response_operator.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_05/README.md,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_05/design/CALIBRATION_PLAN.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_05/design/INDEPENDENT_REPLICATION_LOCK_BEFORE_RUN.md,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_05/design/PAIRED_MEASUREMENT_INTERVENTION_LOCK_BEFORE_RUN.md,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_05/design/PRIMARY_SCALING_DESIGN_LOCK_BEFORE_RUN.md,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_05/notes/METHODS_AND_DEFINITIONS.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_05/notes/RUN_HISTORY_AND_PROTOCOL_DEVIATIONS.md,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_05/results/README.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/checkpoint_05/scripts/analyze_boundary_code_decomposition.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_05/scripts/analyze_checkpoint05.py,manual_selected,imports and main execution/provenance191-231; estimator substance delegated to Figures2-3
studies/checkpoint_05/scripts/analyze_finite_size_sensitivity.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_05/scripts/analyze_measurement_location.py,manual_selected,imports and main execution/provenance114-155; estimator substance delegated to Figure4
studies/checkpoint_05/scripts/analyze_time_sensitivity.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_05/scripts/analyze_transition_crossover.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
studies/checkpoint_05/scripts/build_symplectic_maps.py,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_05/scripts/cp04_common.py,manual_selected,"lines1-260 manually; identical hash to CP04 copy in provenance map, CP04 copy read fully"
studies/checkpoint_05/scripts/run_tableau_scaling.py,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_05/scripts/stabilizer_tableau.py,manual_full,manual inspection within simulator/completeness assignment
studies/checkpoint_05/scripts/validate_tableau_against_statevector.py,manual_full,manual inspection within simulator/completeness assignment
studies/figure_design/FIGURE_01_SPEC.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/figure_design/FIGURE_02_SPEC.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/figure_design/FIGURE_03_SPEC.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/figure_design/FIGURE_04_SPEC.md,navigation_scan_only,local links/fragments scanned; not manual scientific coverage by this agent
studies/figure_design/bootstrap_reference.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
tests/test_approved_figure4.py,manual_full,manual inspection within simulator/completeness assignment
tests/test_evidence_pipeline.py,manual_full,manual inspection within simulator/completeness assignment
tests/test_figure1_adoption.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
tests/test_figure1_svg.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
tests/test_figure1_uncertainty.py,AST_import_scan_only,not scientific manual coverage by this agent; see responsible figure/math/root report
tests/test_figure_palette.py,manual_full,manual inspection within simulator/completeness assignment
tests/test_identities.py,manual_full,manual inspection within simulator/completeness assignment
tests/test_record_bundle.py,manual_full,manual inspection within simulator/completeness assignment
verify.py,manual_selected,"lines1-200; formula/expected-table, local-link, figure-integrity and source-policy checks; root audits full verifier"
